Location,TimeFrame,DataFormat,Data
MONTROSE COUNTY RE-1J,2013,Number,1398
MONTROSE COUNTY RE-1J,2013,Percent,0.213
PLATEAU RE-5,1995,Percent,0.159
PLATEAU RE-5,1997,Percent,0.184
PLATEAU RE-5,1999,Percent,0.221
PLATEAU RE-5,2000,Percent,0.212
PLATEAU RE-5,2001,Percent,0.185
PLATEAU RE-5,2002,Percent,0.211
PLATEAU RE-5,2003,Percent,0.195
PLATEAU RE-5,2004,Percent,0.182
PLATEAU RE-5,2005,Percent,0.205
PLATEAU RE-5,2006,Percent,0.22
PLATEAU RE-5,2007,Percent,0.213
PLATEAU RE-5,2008,Percent,0.19672
PLATEAU RE-5,2008,Number,24
PLATEAU RE-5,2009,Number,30
PLATEAU RE-5,2009,Percent,0.252
PLATEAU RE-5,2010,Number,10
PLATEAU RE-5,2010,Percent,0.09804
PLATEAU RE-5,2011,Number,10
PLATEAU RE-5,2011,Percent,0.101
PLATEAU RE-5,2012,Number,9
PLATEAU RE-5,2012,Percent,0.091
PLATEAU RE-5,2013,Number,7
PLATEAU RE-5,2013,Percent,0.074
PLATEAU VALLEY 50,1995,Percent,0.141
PLATEAU VALLEY 50,1997,Percent,0.152
PLATEAU VALLEY 50,1999,Percent,0.133
PLATEAU VALLEY 50,2000,Percent,0.135
PLATEAU VALLEY 50,2001,Percent,0.131
PLATEAU VALLEY 50,2002,Percent,0.153
PLATEAU VALLEY 50,2003,Percent,0.15
PLATEAU VALLEY 50,2004,Percent,0.132
PLATEAU VALLEY 50,2005,Percent,0.185
PLATEAU VALLEY 50,2006,Percent,0.156
PLATEAU VALLEY 50,2007,Percent,0.148
PLATEAU VALLEY 50,2008,Percent,0.13479
PLATEAU VALLEY 50,2008,Number,74
PLATEAU VALLEY 50,2009,Number,96
PLATEAU VALLEY 50,2009,Percent,0.162
PLATEAU VALLEY 50,2010,Number,72
PLATEAU VALLEY 50,2010,Percent,0.18136
PLATEAU VALLEY 50,2011,Number,80
PLATEAU VALLEY 50,2011,Percent,0.201
PLATEAU VALLEY 50,2012,Number,91
PLATEAU VALLEY 50,2012,Percent,0.23
PLATEAU VALLEY 50,2013,Number,95
PLATEAU VALLEY 50,2013,Percent,0.242
YUMA SCHOOL DISTRICT 1,1995,Percent,
YUMA SCHOOL DISTRICT 1,1997,Percent,
YUMA SCHOOL DISTRICT 1,1999,Percent,0.183
YUMA SCHOOL DISTRICT 1,2000,Percent,0.201
YUMA SCHOOL DISTRICT 1,2001,Percent,0.171
YUMA SCHOOL DISTRICT 1,2002,Percent,0.176
YUMA SCHOOL DISTRICT 1,2003,Percent,0.173
YUMA SCHOOL DISTRICT 1,2004,Percent,0.166
YUMA SCHOOL DISTRICT 1,2005,Percent,0.171
YUMA SCHOOL DISTRICT 1,2006,Percent,0.172
YUMA SCHOOL DISTRICT 1,2007,Percent,0.182
YUMA SCHOOL DISTRICT 1,2008,Percent,0.19108
YUMA SCHOOL DISTRICT 1,2008,Number,167
YUMA SCHOOL DISTRICT 1,2009,Number,179
YUMA SCHOOL DISTRICT 1,2009,Percent,0.198
YUMA SCHOOL DISTRICT 1,2010,Number,179
YUMA SCHOOL DISTRICT 1,2010,Percent,0.18321
YUMA SCHOOL DISTRICT 1,2011,Number,203
YUMA SCHOOL DISTRICT 1,2011,Percent,0.205
YUMA SCHOOL DISTRICT 1,2012,Number,197
YUMA SCHOOL DISTRICT 1,2012,Percent,0.2
YUMA SCHOOL DISTRICT 1,2013,Number,153
YUMA SCHOOL DISTRICT 1,2013,Percent,0.153
