Location,Poverty Level,TimeFrame,DataFormat,Data
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2013,Number,27656
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2013,Number,3248
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2008,Number,2933
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2008,Number,21167
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2008,Number,18234
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2008,Percent,0.0826
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2008,Percent,0.5959
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2007,Percent,0.08
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2008,Percent,0.5133
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2007,Percent,0.56
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2007,Percent,0.48
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2007,Number,2555
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2007,Number,18792
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2007,Number,16237
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2006,Number,15632
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2006,Number,18247
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2006,Number,2615
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2006,Percent,0.0773
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2006,Percent,0.5394
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2006,Percent,0.4621
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2005,Percent,0.0588
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2005,Percent,0.4347
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2005,Number,1958
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2005,Percent,0.4935
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2005,Number,14476
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2005,Number,16434
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2004,Number,1906
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2004,Number,15563
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2004,Number,13657
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2004,Percent,0.0591
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2004,Percent,0.4826
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2003,Percent,0.06
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2004,Percent,0.4235
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2003,Percent,0.42
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2003,Percent,0.36
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2003,Number,11690
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2003,Number,13715
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2003,Number,2025
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2002,Number,11355
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2002,Number,13599
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2002,Number,2244
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2002,Percent,0.06957
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2002,Percent,0.42164
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2002,Percent,0.35206
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2001,Percent,0.07263
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2001,Percent,0.35603
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2001,Percent,0.2834
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2001,Number,8935
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2001,Number,11225
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2001,Number,2290
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2000,Number,8619
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2000,Number,10987
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2000,Number,2368
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2000,Percent,0.28
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2000,Percent,0.36
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2000,Percent,0.08
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2000,Percent,0.13
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2000,Percent,0.36
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2000,Percent,0.23
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2000,Number,195
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2000,Number,554
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2000,Number,359
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2001,Number,143
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2001,Number,514
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2001,Number,371
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2001,Percent,0.23706
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2001,Percent,0.32843
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2001,Percent,0.09137
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2002,Percent,0.22733
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2002,Percent,0.33123
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2002,Percent,0.1039
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2002,Number,165
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2002,Number,526
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2002,Number,361
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2003,Number,181
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2003,Number,606
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2003,Number,425
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2003,Percent,0.27
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2003,Percent,0.39
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2004,Percent,0.2936
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2003,Percent,0.12
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2004,Percent,0.3982
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2004,Percent,0.1046
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2004,Number,463
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2004,Number,628
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2004,Number,165
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2005,Number,607
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2005,Number,432
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2005,Percent,0.3592
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2005,Number,175
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2005,Percent,0.2556
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2005,Percent,0.1036
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2006,Percent,0.2854
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2006,Percent,0.4162
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2006,Percent,0.1308
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2006,Number,221
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2006,Number,703
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2006,Number,482
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2007,Number,471
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2007,Number,677
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2007,Number,206
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2007,Percent,0.3
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2007,Percent,0.44
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2008,Percent,0.3325
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2007,Percent,0.13
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2008,Percent,0.4616
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2008,Percent,0.1292
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2008,Number,507
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2008,Number,704
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2008,Number,197
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2013,Number,151
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2013,Number,663
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2013,Number,512
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2013,Percent,0.387
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2013,Percent,0.50113
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2009,Percent,0.3777
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2013,Percent,0.11413
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2009,Percent,0.5063
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2009,Percent,0.1285
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2009,Number,195
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2009,Number,768
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2010,Number,164
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2009,Number,573
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2010,Number,764
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2010,Number,600
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2010,Percent,0.402
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2010,Percent,0.512
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2010,Percent,0.11
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2011,Percent,0.4014
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2011,Percent,0.5181
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2011,Number,728
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2011,Percent,0.1167
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2011,Number,564
ARCHULETA COUNTY 50 JT,Eligible for Reduced Price Lunch,2011,Number,164
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2012,Number,733
ARCHULETA COUNTY 50 JT,Eligible for Free Lunch,2012,Number,553
ARCHULETA COUNTY 50 JT,Eligible for Free or Reduced Lunch,2012,Percent,0.53465
